127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/css/web2py-codemirror.css, HTTP/1.1, 200, 0.003049
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001915
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000942
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001992
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.001765
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000427
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000607
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/images/files_toggle.png, HTTP/1.1, 200, 0.000519
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/default/edit/server_manage/models/db.py, HTTP/1.1, 200, 0.057461
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000478
127.0.0.1, 2013-11-04 18:23:13, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.171287
127.0.0.1, 2013-11-04 18:23:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000311
127.0.0.1, 2013-11-04 18:23:30, GET, /admin/default/peek/server_manage/models/db.py, HTTP/1.1, 200, 0.033785
127.0.0.1, 2013-11-04 18:23:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000215
127.0.0.1, 2013-11-04 18:23:32, GET, /admin/default/design/server_manage, HTTP/1.1, 200, 0.085479
127.0.0.1, 2013-11-04 18:23:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000384
127.0.0.1, 2013-11-04 18:23:58, POST, /admin/default/create_file, HTTP/1.1, 303, 0.029885
127.0.0.1, 2013-11-04 18:23:58, GET, /admin/default/design/server_manage, HTTP/1.1, 200, 0.078957
127.0.0.1, 2013-11-04 18:23:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000211
127.0.0.1, 2013-11-04 18:24:05, GET, /admin/default/peek/server_manage/models/servers.py, HTTP/1.1, 200, 0.035879
127.0.0.1, 2013-11-04 18:24:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000280
127.0.0.1, 2013-11-04 18:24:07, GET, /admin/default/design/server_manage, HTTP/1.1, 200, 0.083745
127.0.0.1, 2013-11-04 18:24:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000303
127.0.0.1, 2013-11-04 18:24:09, GET, /admin/default/peek/server_manage/models/db.py, HTTP/1.1, 200, 0.030832
127.0.0.1, 2013-11-04 18:24:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000462
127.0.0.1, 2013-11-04 18:24:16, GET, /admin/default/design/server_manage, HTTP/1.1, 200, 0.109199
127.0.0.1, 2013-11-04 18:24:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000384
127.0.0.1, 2013-11-04 18:24:22, GET, /admin/default/test/server_manage, HTTP/1.1, 200, 0.032249
127.0.0.1, 2013-11-04 18:24:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000303
